subject,statistic
Air Canada (ACA),45
WestJet (WJA),27
First Air (FAB),10
Canadian North (MPE),9
Air Transat (TSC),8
United Airlines (UAL),7
Arik Niger (NAK),5
US Airways (USA),5
Abu Dhabi Amiri Flight (AUH),4
Lufthansa (DLH),4
Porter Airlines (POE),4
Delta Air Lines (DAL),3
Pacific Coastal Airline (PCO),3
Air North Charter - Canada (ANT),2
All Nippon Airways (ANA),2
American Airlines (AAL),2
Cubana de Aviación (CUB),2
WebJet Linhas A (WEB),2
Air France (AFR),1
Bearskin Lake Air Service (BLS),1
